code,name,industry,area,pe,totals,outstanding,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
300171,东富龙,医疗保健,上海,42.02,15713.73,31741.77,400508.22,342240.53,22489.59,149388.45,4.71,0.7,8.1,4.79,20110201
300338,开元仪器,电器仪表,湖南,81.1,4828.66,12600,82419.15,55881.94,14326.84,41227.89,3.27,0.259,5.88,4.77,20120726
300297,蓝盾股份,软件服务,广东,417.94,11065.24,19600,114507.6,68591.86,33231.45,31224.31,1.59,0.059,3.52,9.28,20120315
300378,鼎捷软件,软件服务,上海,305.51,3932.69,15442,142023.27,115395.57,9274.92,66414.63,4.3,0.21,7.36,12.15,20140127
300300,汉鼎股份,软件服务,浙江,102.91,8577.37,19140,107562.9,91387.93,10082.3,25743.47,1.35,0.268,3.6,10.23,20120319
300170,汉得信息,软件服务,上海,120.37,39903.32,54906.57,159749.36,120314.15,26747.5,52113.21,0.95,0.236,2.76,13.7,20110201
300205,天喻信息,元器件,湖北,152.82,42476.94,43005.6,206165.2,178814.27,13430.12,40045.6,0.93,0.103,2.55,8.2,20110421
300418,昆仑万维,互联网,北京,60.34,7000,28000,147454.25,113473.57,0,0,0,1.185,4.87,14.68,20150121
300383,光环新网,电信运营,北京,97.13,4676.93,10916,75600.78,39256.76,22985.13,31116.3,2.85,0.63,6.14,13.11,20140129
600814,杭州解百,百货,浙江,30.09,31038.3,71502.67,454009.56,284016.75,105224.31,1428.49,0.02,0.336,2.59,3.9,19940114
600242,中昌海运,水运,广东,0,26696.25,27333.53,230048.55,52491.68,113349.13,39610.32,1.45,-0.365,0.61,15.56,20001207
300416,苏试试验,电器仪表,江苏,78.47,1570,6280,43654.12,27059.25,0,0,0,0.634,5.64,8.82,20150122
300399,京天利,互联网,北京,260.95,2000,8000,46813.85,42720.8,3930.6,19904.6,2.49,0.45,5.66,20.83,20141009
300380,安硕信息,软件服务,上海,380.29,2416.12,6872,43267.37,41250.28,1839.55,21186.15,3.08,0.269,5.77,23.6,20140128
300359,全通教育,文教休闲,广东,518.72,3673.54,9720,37164,30523.1,581.26,12505.19,1.29,0.28,3.68,60.44,20140121
300253,卫宁软件,软件服务,上海,215.37,14200.08,21849.53,121802.36,83531.68,2653.17,24298.82,1.11,0.56,3.52,33.92,20110818
300195,长荣股份,轻工机械,天津,42.33,5426.29,17042.61,268032.31,147317.16,43473.71,164734.42,9.67,0.74,12.87,3.03,20110329
300130,新国都,电脑设备,深圳,95.98,7369.87,11430,127706.05,99848.61,2616.67,66063.96,5.78,0.384,9.49,5.18,20101019
300043,互动娱乐,文教休闲,广东,71.62,18764.13,56554.46,317595.78,95769.5,55172.88,71499.11,1.26,0.28,3.13,8.05,20100120
300013,新宁物流,仓储物流,江苏,325.09,18000,18000,51217.18,28658.4,14848.79,8140.7,0.45,0.053,1.91,11.98,20091030
300010,立思辰,软件服务,北京,268.84,17471.02,29329.32,183493.22,93666.05,11849.94,73941.06,2.52,0.1,4.28,7.92,20091030
002228,合兴包装,广告包装,福建,45.86,34750.39,34750.39,236164.7,129214.67,66073.02,28360.46,0.82,0.261,2.97,5.38,20080508
300419,浩丰科技,软件服务,北京,86.89,1030,4110,34619.65,27260.75,0,0,0,1.309,7.85,14.49,20150122
300422,博世科,环境保护,广西,98.63,1550,6200,59566.96,46590.09,3687.45,2984.08,0.48,0.504,4.4,11.3,20150217
002152,广电运通,电脑设备,广东,44.94,86304.35,89668.47,514746.25,450006.31,40904.43,18069.82,0.2,0.492,4.22,7,20070813
300050,世纪鼎利,软件服务,广东,163.57,13388.25,24945.72,152580.05,128391.6,9226.26,93784.71,3.76,0.103,6.64,3.38,20100120
002553,南方轴承,机械基件,江苏,48.91,10887,17400,66109.81,50685.65,13575.95,23051.9,1.32,0.29,3.51,5.4,20110225
000835,长城动漫,影视音像,四川,186.3,30537,30537,47529.26,37322.06,6064.31,1149.02,0.04,0.058,1.39,10.38,19990625
001696,宗申动力,摩托车,重庆,35.23,89213.47,114502.7,550297.06,384986.09,55766.28,54553.98,0.48,0.258,2.81,4.31,19970306
600662,强生控股,公共交通,上海,79.76,105336.21,105336.21,622891.38,249150.52,199865.05,77244.77,0.73,0.126,2.9,4.6,19930614
000066,长城电脑,电脑设备,深圳,0,132357.02,132359.39,4273831.5,3359016.5,362148.75,62173.36,0.47,-0.015,1.9,7.04,19970626
600207,安彩高科,元器件,河南,0,44000,69000,283759.25,130446.47,149172.25,195878.69,2.84,-0.109,1.4,4.64,19990714
002162,斯米克,陶瓷,上海,342.59,41800,43700,222483.02,78735.27,67551.57,47345.09,1.08,0.033,1.84,6.11,20070823
600397,安源煤业,煤炭开采,江西,148.1,98995.97,98995.97,959079.88,477040.09,292652.91,184667.81,1.87,0.034,3.48,1.91,20020702
600446,金证股份,软件服务,深圳,301.65,26540.75,26563.55,231200.22,136676.11,7611.56,4132.31,0.16,0.248,2.8,35.64,20031224
600010,包钢股份,普钢,内蒙,1242.28,1574202.38,1600518.25,9847356,3577112.5,2281558.5,56209.78,0.04,0.004,1.17,4.95,20010309
600415,小商品城,商品城,浙江,116.18,272160.72,272160.72,2641090,1134291.38,538042.25,146848.05,0.54,0.118,3.21,5.7,20020509
002646,青青稞酒,白酒,青海,30.47,45000,45000,265536.84,173576.13,48414.25,85475.59,1.9,0.601,4.84,5.04,20111222
